Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
385,Reese McGuire,28,BOS,AL,40,116,105,11,28,9,0,0,11,0,1,7,32,0.267,0.313,0.352,0.665,79,37,1,0,2,0,0
386,Ryan McKenna,26,BAL,AL,62,89,79,16,20,5,0,2,11,1,0,5,26,0.253,0.315,0.392,0.707,98,31,3,3,0,2,0
387,Billy McKinney,28,NYY,AL,31,91,83,12,21,3,1,5,11,1,0,7,22,0.253,0.319,0.494,0.813,122,41,1,1,0,0,0
388,Zach McKinstry,28,DET,AL,90,314,278,41,69,12,2,7,23,12,1,30,64,0.248,0.324,0.381,0.705,97,106,1,2,2,2,0
389,Matt McLain,23,CIN,NL,58,268,242,45,73,17,4,10,35,8,3,20,72,0.302,0.369,0.529,0.898,135,128,4,6,0,0,0
390,Ryan McMahon,28,COL,NL,95,394,349,51,89,20,3,15,46,5,3,43,124,0.255,0.338,0.458,0.796,104,160,12,1,0,1,1
391,Jeff McNeil,31,NYM,NL,97,395,351,41,87,15,1,3,30,5,0,28,46,0.248,0.323,0.322,0.645,81,113,5,12,2,2,0
392,Austin Meadows,28,DET,AL,6,21,21,0,5,1,0,0,2,0,0,0,3,0.238,0.238,0.286,0.524,46,6,0,0,0,0,0
393,Francisco Mejía#,27,TBR,AL,50,160,150,22,34,11,0,5,19,0,1,6,38,0.227,0.258,0.4,0.658,81,60,2,1,1,2,0
394,MJ Melendez,24,KCR,AL,93,381,339,37,72,20,2,7,33,5,2,36,111,0.212,0.291,0.345,0.636,76,117,3,3,0,3,1
395,Danny Mendick,29,NYM,NL,4,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
396,Joey Meneses,31,WSN,NL,91,393,367,36,102,22,1,6,50,0,0,24,80,0.278,0.321,0.392,0.713,100,144,10,0,0,2,0
397,Óscar Mercado,28,STL,NL,20,32,31,3,9,3,0,0,5,2,1,1,4,0.29,0.313,0.387,0.7,91,12,0,0,0,0,0
398,Whit Merrifield,34,TOR,AL,90,358,327,41,95,17,0,6,42,20,8,25,63,0.291,0.344,0.398,0.741,108,130,10,3,0,3,0
399,Julian Merryweather,31,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,Matt Mervis,25,CHC,NL,27,99,90,8,15,2,0,3,11,0,0,8,32,0.167,0.242,0.289,0.531,43,26,1,1,0,0,0
401,Jake Meyers,27,HOU,AL,76,255,227,31,51,12,1,7,23,5,1,23,66,0.225,0.306,0.379,0.685,90,86,2,4,0,1,0
402,Brad Miller,33,TEX,AL,24,58,49,5,10,3,0,1,6,0,0,8,9,0.204,0.31,0.327,0.637,76,16,1,0,0,1,0
403,Owen Miller,26,MIL,NL,81,295,274,29,74,17,0,5,26,12,2,16,56,0.27,0.312,0.387,0.699,91,106,6,2,0,3,1
404,Shelby Miller,32,LAD,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
405,Jose Miranda,25,MIN,AL,40,152,142,12,30,4,0,3,13,0,0,9,24,0.211,0.263,0.303,0.566,57,43,8,1,0,0,0
406,Calvin Mitchell,24,PIT,NL,2,5,4,0,0,0,0,0,0,0,0,1,1,0,0.2,0,0.2,-38,0,0,0,0,0,0
407,Garrett Mitchell,24,MIL,NL,16,62,58,9,15,1,1,3,6,1,0,4,24,0.259,0.306,0.466,0.772,108,27,0,0,0,0,0
408,Andruw Monasterio,26,MIL,NL,32,94,83,16,24,5,0,1,7,3,0,11,22,0.289,0.372,0.386,0.758,109,32,1,0,0,0,0
409,Yoán Moncada#,28,CHW,AL,38,147,138,17,32,8,1,3,13,1,0,7,39,0.232,0.279,0.37,0.648,78,51,2,2,0,0,0
410,Mickey Moniak,25,LAA,AL,46,173,165,25,55,13,1,11,34,3,1,5,53,0.333,0.364,0.624,0.988,164,103,1,3,0,0,0
411,Elehuris Montero,24,COL,NL,35,112,106,11,21,5,1,2,13,0,0,3,44,0.198,0.223,0.321,0.544,39,34,2,1,0,2,0
412,Rafael Montero,32,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,Coco Montes,26,COL,NL,18,41,38,3,7,2,0,1,3,0,0,2,12,0.184,0.244,0.316,0.56,44,12,0,1,0,0,0
414,Dylan Moore,30,SEA,AL,18,40,36,5,4,2,0,2,4,1,1,4,18,0.111,0.2,0.333,0.533,48,12,0,0,0,0,0
415,Jovani Moran,26,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,Christopher Morel,24,CHC,NL,57,232,209,38,56,8,1,15,43,3,1,19,73,0.268,0.329,0.531,0.86,128,111,5,1,1,2,0
417,Gabriel Moreno,23,ARI,NL,74,244,222,17,60,11,0,3,28,4,0,16,54,0.27,0.316,0.36,0.676,87,80,9,1,0,5,0
418,Taylor Motter,33,STL,NL,8,22,20,0,4,2,0,0,1,0,0,2,8,0.2,0.273,0.3,0.573,57,6,0,0,0,0,0
419,Ryan Mountcastle,26,BAL,AL,69,283,264,37,62,15,1,11,41,2,0,12,70,0.235,0.269,0.424,0.693,91,112,8,2,0,5,0
420,Mike Moustakas,34,TOT,MLB,65,207,181,29,46,7,0,9,28,0,0,20,56,0.254,0.333,0.442,0.775,103,80,4,3,0,3,1
421,Mike Moustakas,34,COL,NL,47,136,115,21,31,7,0,4,17,0,0,17,34,0.27,0.36,0.435,0.795,105,50,1,1,0,3,1
422,Mike Moustakas,34,LAA,AL,18,71,66,8,15,0,0,5,11,0,0,3,22,0.227,0.282,0.455,0.736,97,30,3,2,0,0,0
423,Cedric Mullins,28,BAL,AL,69,290,251,33,65,16,3,9,47,14,3,35,58,0.259,0.347,0.454,0.801,123,114,3,0,2,2,0
424,Max Muncy,32,LAD,NL,80,338,281,56,55,8,0,23,59,1,2,52,92,0.196,0.328,0.47,0.798,111,132,4,4,0,1,3
425,Andrés Muñoz,24,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,Penn Murfee,29,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,Sean Murphy,28,ATL,NL,73,297,256,45,73,18,0,17,57,0,0,31,71,0.285,0.38,0.555,0.935,146,142,11,9,0,1,0
428,Tom Murphy,32,SEA,AL,35,117,106,13,29,9,0,6,11,0,0,8,35,0.274,0.328,0.528,0.856,138,56,2,1,0,1,0
429,Dane Myers,27,MIA,NL,13,49,48,7,16,2,0,1,8,0,1,1,11,0.333,0.347,0.438,0.784,115,21,1,0,0,0,0
430,Wil Myers,32,CIN,NL,37,141,127,11,24,3,0,3,12,2,1,12,48,0.189,0.257,0.283,0.541,44,36,3,0,1,1,0
431,James Naile,30,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,Omar Narváez,31,NYM,NL,19,51,43,6,9,0,0,1,4,0,0,6,7,0.209,0.294,0.279,0.573,62,12,0,0,0,2,0
433,Bo Naylor,23,CLE,AL,20,73,68,9,13,3,0,2,8,0,0,5,22,0.191,0.247,0.324,0.57,59,22,1,0,0,0,0
434,Josh Naylor,26,CLE,AL,87,351,324,40,101,22,0,15,76,6,1,21,55,0.312,0.35,0.519,0.869,140,168,7,1,0,5,7
435,Hector Neris,34,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,Zach Neto,22,LAA,AL,62,233,206,30,52,13,0,8,27,5,0,12,48,0.252,0.328,0.432,0.76,106,89,4,12,1,2,0
437,Tyler Nevin,26,DET,AL,22,56,49,3,6,0,0,1,5,0,0,5,12,0.122,0.214,0.184,0.398,13,9,1,1,0,1,0
438,Kevin Newman,29,CIN,NL,64,225,200,24,52,14,0,3,27,7,1,16,29,0.26,0.318,0.375,0.693,84,75,6,3,2,4,0
439,Tomás Nido,29,NYM,NL,22,61,56,5,7,0,0,0,1,0,0,2,18,0.125,0.153,0.125,0.278,-21,7,2,0,2,1,0
440,Brandon Nimmo,30,NYM,NL,96,435,373,57,97,16,4,15,46,3,1,49,99,0.26,0.357,0.445,0.802,123,166,2,9,1,3,0
441,Ryan Noda,27,OAK,AL,90,341,275,43,63,17,1,11,38,2,1,60,116,0.229,0.375,0.418,0.794,128,115,1,5,0,1,1
442,Austin Nola,33,SDP,NL,52,154,130,9,19,3,0,1,8,0,0,18,31,0.146,0.26,0.192,0.452,31,25,5,2,4,0,0
443,Lars Nootbaar,25,STL,NL,69,298,254,46,67,13,0,7,28,7,1,41,68,0.264,0.364,0.398,0.761,109,101,4,0,1,2,2
444,Ryan O'Hearn,29,BAL,AL,54,175,159,22,49,10,0,7,31,1,1,11,39,0.308,0.354,0.503,0.857,138,80,1,2,0,3,1
445,Logan O'Hoppe,23,LAA,AL,16,59,53,5,15,2,0,4,13,0,0,4,15,0.283,0.339,0.547,0.886,138,29,2,1,0,1,0
446,Tyler O'Neill,28,STL,NL,32,113,102,14,24,5,0,2,6,2,0,11,37,0.235,0.31,0.343,0.653,79,35,2,0,0,0,0
447,Rougned Odor,29,SDP,NL,59,157,138,21,29,10,0,4,18,2,1,17,37,0.21,0.306,0.37,0.675,89,51,2,2,0,0,0
448,Shohei Ohtani,28,LAA,AL,97,436,368,73,111,16,7,35,76,11,4,59,100,0.302,0.397,0.668,1.065,185,246,7,1,0,3,8
