
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,34,28.5,4.70,84,78,.519,4.47,162,162,161,1,9,1,44,1435.1,1375,761,713,197,525,13,1351,48,8,40,6100,98,4.35,1.324,8.6,1.2,3.3,8.5,2.57,1050
Atlanta Braves,32,29.9,4.42,104,58,.642,4.14,162,162,161,1,15,1,52,1440.0,1341,716,662,187,534,14,1516,70,8,56,6135,108,4.10,1.302,8.4,1.2,3.3,9.5,2.84,1112
Baltimore Orioles,31,28.4,4.19,101,61,.623,3.89,162,162,162,0,12,0,49,1453.2,1334,678,629,177,473,16,1431,63,7,64,6098,106,3.98,1.243,8.3,1.1,2.9,8.9,3.03,1080
Boston Red Sox,33,30.0,4.79,78,84,.481,4.52,162,162,162,0,5,0,43,1430.0,1416,776,718,208,497,21,1423,83,4,49,6168,101,4.37,1.338,8.9,1.3,3.1,9.0,2.86,1117
Chicago Cubs,27,29.6,4.46,83,79,.512,4.08,162,162,161,1,13,1,35,1435.1,1328,723,651,179,513,5,1377,64,6,57,6085,110,4.16,1.283,8.3,1.1,3.2,8.6,2.68,1073
Chicago White Sox,32,29.2,5.19,61,101,.377,4.87,162,162,160,2,7,0,28,1431.2,1372,841,774,214,654,14,1470,91,9,65,6301,92,4.71,1.415,8.6,1.3,4.1,9.2,2.25,1189
Cincinnati Reds,40,27.7,5.07,82,80,.506,4.83,162,162,162,0,6,0,53,1439.1,1426,821,772,222,613,13,1381,81,7,48,6310,95,4.79,1.417,8.9,1.4,3.8,8.6,2.25,1189
Cleveland Guardians,29,26.1,4.30,76,86,.469,3.96,162,162,161,1,13,0,47,1444.0,1352,697,635,173,534,9,1311,51,10,61,6144,105,4.21,1.306,8.4,1.1,3.3,8.2,2.46,1143
Colorado Rockies,34,29.7,5.91,59,103,.364,5.67,162,162,162,0,6,0,32,1414.0,1599,957,891,234,586,13,1129,86,7,51,6316,89,5.24,1.545,10.2,1.5,3.7,7.2,1.93,1129
Detroit Tigers,32,27.7,4.57,78,84,.481,4.24,162,162,162,0,15,0,41,1442.1,1320,740,680,187,476,8,1374,50,5,51,6073,105,4.13,1.245,8.2,1.2,3.0,8.6,2.89,1027
