Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,PLAYOFFS
Arizona Diamondbacks,48,26.8,4.4,162,6183,5473,713,1366,301,34,180,691,86,41,589,1529,0.25,0.325,0.416,0.74,94,2275,113,39,41,41,45,1139,
Atlanta Braves,43,28.6,4.56,162,6252,5463,738,1411,312,25,139,699,63,29,634,1140,0.258,0.339,0.401,0.74,101,2190,136,51,69,35,50,1222,1
Baltimore Orioles,45,28.6,3.78,162,6109,5554,613,1440,264,21,133,577,76,34,424,1056,0.259,0.316,0.386,0.702,92,2145,154,54,31,45,32,1139,
Boston Red Sox,53,30.9,5.05,162,6356,5646,818,1511,358,22,211,782,68,17,587,1140,0.268,0.339,0.451,0.79,109,2546,130,47,29,46,43,1200,
Chicago Cubs,44,29.3,4.23,162,6140,5512,685,1414,298,27,149,658,55,31,479,1236,0.257,0.32,0.401,0.721,90,2213,124,50,60,38,32,1129,
Chicago White Sox,40,30.6,4.64,162,6118,5484,752,1467,263,21,177,710,160,74,467,922,0.268,0.332,0.42,0.752,102,2303,148,79,50,38,23,1046,
Cincinnati Reds,44,29,4.88,162,6285,5579,790,1515,293,30,188,761,93,43,522,1218,0.272,0.338,0.436,0.774,106,2432,113,68,66,50,34,1174,1
Cleveland Indians,45,27.2,3.99,162,6165,5487,646,1362,290,20,128,601,91,33,545,1184,0.248,0.322,0.378,0.7,96,2076,118,64,36,33,34,1186,
Colorado Rockies,43,28.8,4.75,162,6265,5530,770,1452,270,54,173,741,99,42,585,1274,0.263,0.336,0.425,0.76,92,2349,103,47,56,47,53,1175,
Detroit Tigers,41,29,4.64,162,6312,5643,751,1515,308,32,152,717,69,30,546,1147,0.268,0.335,0.415,0.75,102,2343,118,41,41,41,50,1229,
Florida Marlins,57,26.9,4.44,162,6194,5531,719,1403,294,37,152,686,92,26,514,1375,0.254,0.321,0.403,0.724,92,2227,107,55,51,43,42,1154,
Houston Astros,48,29.6,3.77,162,6005,5452,611,1348,252,25,108,577,100,36,415,1025,0.247,0.303,0.362,0.665,81,1974,130,33,75,29,27,1060,
Kansas City Royals,46,28.9,4.17,162,6209,5604,676,1534,279,31,121,640,115,50,471,905,0.274,0.331,0.399,0.73,100,2238,152,35,45,53,25,1173,
Los Angeles Angels of Anaheim,46,29.6,4.2,162,6089,5488,681,1363,276,19,155,656,104,52,466,1070,0.248,0.311,0.39,0.702,94,2142,125,52,42,37,28,1049,
Los Angeles Dodgers,49,30.3,4.12,162,6140,5426,667,1368,270,29,120,621,92,50,533,1184,0.252,0.322,0.379,0.7,92,2056,123,46,85,50,57,1142,
Milwaukee Brewers,43,27.9,4.63,162,6304,5606,750,1471,293,33,182,710,81,26,546,1216,0.262,0.335,0.424,0.759,103,2376,115,81,35,35,35,1220,
Minnesota Twins,42,28.4,4.82,162,6257,5568,781,1521,318,41,142,749,68,28,559,967,0.273,0.341,0.422,0.762,109,2347,159,39,38,53,45,1156,1
New York Mets,47,28.4,4.05,162,6144,5465,656,1361,266,40,128,625,130,44,502,1095,0.249,0.314,0.383,0.697,90,2091,101,46,74,57,53,1124,
New York Yankees,43,30.3,5.3,162,6379,5567,859,1485,275,32,201,823,103,30,662,1136,0.267,0.35,0.436,0.786,108,2427,124,73,33,44,36,1228,1
Oakland Athletics,49,27.8,4.09,162,6117,5448,663,1396,276,30,109,619,156,38,527,1061,0.256,0.324,0.378,0.702,92,2059,129,47,43,51,16,1159,
Philadelphia Phillies,42,31.8,4.77,162,6291,5581,772,1451,290,34,166,736,108,21,560,1064,0.26,0.332,0.413,0.745,98,2307,120,63,44,43,69,1194,1
Pittsburgh Pirates,52,26.5,3.62,162,5974,5386,587,1303,276,27,126,570,87,36,463,1207,0.242,0.304,0.373,0.678,84,2011,119,33,58,33,28,1078,
San Diego Padres,40,29.1,4.1,162,6148,5434,665,1338,236,24,132,630,124,50,538,1183,0.246,0.317,0.371,0.689,93,2018,106,50,79,46,67,1125,
Seattle Mariners,47,29.5,3.17,162,5989,5409,513,1274,227,16,101,485,142,39,459,1184,0.236,0.298,0.339,0.637,79,1836,110,39,42,40,33,1116,
San Francisco Giants,42,29.5,4.3,162,6143,5488,697,1411,284,30,162,660,55,32,487,1099,0.257,0.321,0.408,0.729,98,2241,158,50,76,41,53,1092,1
St. Louis Cardinals,42,28.8,4.54,162,6241,5542,736,1456,285,18,150,689,79,41,541,1027,0.263,0.332,0.402,0.733,100,2227,124,50,66,40,78,1164,
Tampa Bay Rays,37,27.5,4.95,162,6270,5439,802,1343,295,37,160,769,172,47,672,1292,0.247,0.333,0.403,0.736,105,2192,92,57,39,57,30,1152,1
Texas Rangers,48,28.3,4.86,162,6302,5635,787,1556,268,25,162,740,123,48,511,986,0.276,0.338,0.419,0.757,98,2360,129,45,53,54,37,1174,1
Toronto Blue Jays,44,29.3,4.66,162,6072,5495,755,1364,319,21,257,732,58,20,471,1164,0.248,0.312,0.454,0.766,105,2496,114,55,16,34,25,1017,
Washington Nationals,46,29.1,4.04,162,6100,5418,655,1355,250,31,149,634,110,41,503,1220,0.25,0.318,0.39,0.708,91,2114,125,60,71,47,36,1113,
