Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,PLAYOFFS
Arizona Diamondbacks,41,26.7,4.44,162,6156,5409,720,1355,318,47,159,683,58,23,587,1287,0.251,0.327,0.415,0.742,88,2244,105,49,68,43,49,1142,
Atlanta Braves,49,27.1,4.65,162,6368,5604,753,1514,316,33,130,721,58,27,618,1023,0.27,0.345,0.408,0.753,99,2286,143,42,69,34,56,1274,
Baltimore Orioles,46,30.1,4.86,161,6211,5559,782,1486,322,30,172,750,81,37,533,990,0.267,0.333,0.429,0.762,100,2384,111,42,27,48,37,1134,
Boston Red Sox,47,29.8,5.22,162,6402,5596,845,1565,353,33,173,807,120,35,646,1068,0.28,0.358,0.447,0.805,107,2503,147,70,28,62,49,1262,1
Chicago Cubs,42,30,5.31,161,6384,5588,855,1552,329,21,184,811,87,34,636,1186,0.278,0.354,0.443,0.797,103,2475,134,50,65,45,48,1237,1
Chicago White Sox,39,30.6,4.98,163,6231,5553,811,1458,296,13,235,785,67,34,540,1016,0.263,0.332,0.448,0.78,102,2485,157,63,28,47,33,1067,1
Cincinnati Reds,48,28.6,4.35,162,6188,5465,704,1351,269,24,187,677,85,47,560,1125,0.247,0.321,0.408,0.729,89,2229,101,50,72,41,50,1138,
Cleveland Indians,49,27.6,4.97,162,6299,5543,805,1455,339,22,171,772,77,29,560,1213,0.262,0.339,0.424,0.763,103,2351,123,103,43,49,44,1184,
Colorado Rockies,49,27.5,4.61,162,6312,5557,747,1462,310,28,160,714,141,37,570,1209,0.263,0.336,0.415,0.751,89,2308,119,57,90,38,36,1207,
Detroit Tigers,46,30.3,5.07,162,6331,5641,821,1529,293,41,200,780,63,31,572,1076,0.271,0.34,0.444,0.784,105,2504,144,44,30,44,23,1159,
Florida Marlins,45,28,4.78,161,6206,5499,770,1397,302,28,208,741,76,28,543,1371,0.254,0.326,0.433,0.759,97,2379,98,69,49,46,50,1140,
Houston Astros,41,31.1,4.42,161,6051,5451,712,1432,284,22,167,684,114,52,449,1051,0.263,0.323,0.415,0.737,95,2261,116,52,57,41,42,1073,
Kansas City Royals,43,28,4.27,162,6118,5608,691,1507,303,28,120,650,79,38,392,1005,0.269,0.32,0.397,0.717,91,2226,144,50,32,36,31,1073,
Los Angeles Angels of Anaheim,41,29,4.72,162,6155,5540,765,1486,274,25,159,721,129,48,481,987,0.268,0.33,0.413,0.743,95,2287,140,52,32,50,52,1087,1
Los Angeles Dodgers,46,28.5,4.32,162,6194,5506,700,1455,271,29,137,659,126,43,543,1032,0.264,0.333,0.399,0.732,93,2195,153,43,64,38,62,1161,1
Milwaukee Brewers,44,28.6,4.63,162,6252,5535,750,1398,324,35,198,722,108,38,550,1203,0.253,0.325,0.431,0.757,99,2386,97,69,54,43,44,1153,1
Minnesota Twins,40,26.2,5.09,163,6331,5641,829,1572,298,49,111,791,102,42,529,979,0.279,0.34,0.408,0.748,102,2301,142,36,52,72,48,1140,
New York Mets,50,30.1,4.93,162,6388,5606,799,1491,274,38,172,751,138,36,619,1024,0.266,0.34,0.42,0.761,101,2357,129,39,73,49,71,1220,
New York Yankees,51,31.3,4.87,162,6257,5572,789,1512,289,20,180,758,118,39,535,1015,0.271,0.342,0.427,0.769,101,2381,149,80,31,39,36,1160,
Oakland Athletics,51,27.2,4.01,161,6138,5451,646,1318,270,23,125,610,88,21,574,1226,0.242,0.318,0.369,0.686,87,2009,126,48,30,35,23,1166,
Philadelphia Phillies,40,30.1,4.93,162,6273,5509,799,1407,291,36,214,762,136,25,586,1117,0.255,0.332,0.438,0.77,99,2412,108,67,71,40,68,1154,1
Pittsburgh Pirates,47,28.4,4.54,162,6278,5628,735,1454,314,21,153,705,57,19,474,1039,0.258,0.32,0.403,0.723,92,2269,111,59,66,51,40,1135,
San Diego Padres,59,28.9,3.93,162,6244,5568,637,1390,264,27,154,615,36,17,518,1259,0.25,0.317,0.39,0.707,96,2170,129,53,59,46,35,1181,
Seattle Mariners,44,29.7,4.14,162,6176,5643,671,1498,285,20,124,631,90,32,417,890,0.265,0.318,0.389,0.707,90,2195,137,38,36,42,44,1151,
San Francisco Giants,49,29.6,3.95,162,6145,5543,640,1452,311,37,94,606,108,46,452,1044,0.262,0.321,0.382,0.703,83,2119,139,48,57,44,45,1148,
St. Louis Cardinals,43,28.8,4.81,162,6370,5636,779,1585,283,26,174,744,73,32,577,985,0.281,0.35,0.433,0.783,107,2442,150,42,71,44,63,1241,
Tampa Bay Rays,46,27,4.78,162,6312,5541,774,1443,284,37,180,735,142,50,626,1224,0.26,0.34,0.422,0.762,101,2341,111,68,23,52,33,1215,1
Texas Rangers,55,27.7,5.56,162,6478,5728,901,1619,376,35,194,867,81,25,595,1207,0.283,0.354,0.462,0.816,114,2647,117,63,37,54,43,1238,
Toronto Blue Jays,43,31,4.41,162,6191,5503,714,1453,303,32,126,681,80,27,521,938,0.264,0.331,0.399,0.731,96,2198,150,59,48,56,34,1155,
Washington Nationals,50,27.8,3.98,161,6192,5491,641,1376,269,26,117,608,81,43,534,1095,0.251,0.323,0.373,0.696,84,2048,153,67,64,36,21,1178,
