Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO:W,LOB,PLAYOFFS,YEAR,Py_Win%,AB,BABIP,SF
Arizona Diamondbacks,34,28.5,4.7,84,78,0.519,4.47,162,162,161,1,9,1,44,1435.1,1375,761,713,197,525,13,1351,48,8,40,6100,98,4.35,1.324,8.6,1.2,3.3,8.5,2.57,1050,1,2023,0.490047436,5436,0.299136618,50
Atlanta Braves,32,29.9,4.42,104,58,0.642,4.14,162,162,161,1,15,1,52,1440,1341,716,662,187,534,14,1516,70,8,56,6135,108,4.1,1.302,8.4,1.2,3.3,9.5,2.84,1112,1,2023,0.636276176,5597,0.293116586,43
Baltimore Orioles,31,28.4,4.19,101,61,0.623,3.89,162,162,162,0,12,0,49,1453.2,1334,678,629,177,473,16,1431,63,7,64,6098,106,3.98,1.243,8.3,1.1,2.9,8.9,3.03,1080,1,2023,0.586218071,5495,0.294102694,47
Boston Red Sox,33,30,4.79,78,84,0.481,4.52,162,162,162,0,5,0,43,1430,1416,776,718,208,497,21,1423,83,4,49,6168,101,4.37,1.338,8.9,1.3,3.1,9,2.86,1117,0,2023,0.497416038,5562,0.304589007,35
Chicago Cubs,27,29.6,4.46,83,79,0.512,4.08,162,162,161,1,13,1,35,1435.1,1328,723,651,179,513,5,1377,64,6,57,6085,110,4.16,1.283,8.3,1.1,3.2,8.6,2.68,1073,0,2023,0.562016439,5504,0.28725,52
Chicago White Sox,32,29.2,5.19,61,101,0.377,4.87,162,162,160,2,7,0,28,1431.2,1372,841,774,214,654,14,1470,91,9,65,6301,92,4.71,1.415,8.6,1.3,4.1,9.2,2.25,1189,0,2023,0.367461066,5501,0.301092044,29
Cincinnati Reds,40,27.7,5.07,82,80,0.506,4.83,162,162,162,0,6,0,53,1439.1,1426,821,772,222,613,13,1381,81,7,48,6310,95,4.79,1.417,8.9,1.4,3.8,8.6,2.25,1189,0,2023,0.476322516,5499,0.306751592,29
Cleveland Guardians,29,26.1,4.3,76,86,0.469,3.96,162,162,161,1,13,0,47,1444,1352,697,635,173,534,9,1311,51,10,61,6144,105,4.21,1.306,8.4,1.1,3.3,8.2,2.46,1143,0,2023,0.47426284,5513,0.289467223,44
Colorado Rockies,34,29.7,5.91,59,103,0.364,5.67,162,162,162,0,6,0,32,1414,1599,957,891,234,586,13,1129,86,7,51,6316,89,5.24,1.545,10.2,1.5,3.7,7.2,1.93,1129,0,2023,0.362084433,5496,0.327024437,41
Detroit Tigers,32,27.7,4.57,78,84,0.481,4.24,162,162,162,0,15,0,41,1442.1,1320,740,680,187,476,8,1374,50,5,51,6073,105,4.13,1.245,8.2,1.2,3,8.6,2.89,1027,0,2023,0.443790432,5478,0.28698075,31
Houston Astros,24,29.2,4.31,90,72,0.556,3.94,162,162,160,2,7,2,42,1445.1,1312,698,632,201,537,6,1460,75,5,37,6110,107,4.31,1.279,8.2,1.3,3.3,9.1,2.72,1091,1,2023,0.58398918,5567,0.281550938,40
Kansas City Royals,36,29.1,5.3,56,106,0.346,5.17,162,162,159,3,6,0,28,1409,1429,859,809,207,553,8,1270,73,6,67,6139,86,4.7,1.407,9.1,1.3,3.5,8.1,2.3,1060,0,2023,0.382452461,5428,0.304814168,58
Los Angeles Angels,39,28,5.12,73,89,0.451,4.64,162,162,161,1,9,1,43,1431.2,1394,829,738,209,636,41,1445,88,8,70,6305,97,4.65,1.418,8.8,1.3,4,9.1,2.27,1199,0,2023,0.442790519,5489,0.305333677,46
Los Angeles Dodgers,39,28.1,4.31,100,62,0.617,4.06,162,162,162,0,15,0,44,1446.1,1284,699,652,200,454,20,1388,73,4,49,6018,108,4.23,1.202,8,1.2,2.8,8.6,3.06,1000,1,2023,0.626861773,5524,0.270661673,69
Miami Marlins,32,27.6,4.46,84,78,0.519,4.21,162,162,159,3,9,1,43,1435.1,1340,723,672,191,514,20,1490,71,9,38,6091,107,4.13,1.292,8.4,1.2,3.2,9.3,2.9,1081,1,2023,0.459032273,5497,0.298131811,38
Milwaukee Brewers,34,29.3,3.99,92,70,0.568,3.71,162,162,161,1,16,1,46,1443,1218,647,595,198,493,7,1425,60,8,54,5990,116,4.21,1.186,7.6,1.2,3.1,8.9,2.89,1036,1,2023,0.558705367,5386,0.268279853,39
Minnesota Twins,29,29,4.07,87,75,0.537,3.87,162,162,160,2,12,2,38,1451.1,1294,659,624,194,443,16,1560,63,1,51,6028,111,3.89,1.197,8,1.2,2.7,9.7,3.52,1046,1,2023,0.582247382,5489,0.292009557,32
New York Mets,37,31.9,4.5,75,87,0.463,4.3,162,162,161,1,7,0,34,1416.1,1331,729,676,190,595,13,1397,85,8,59,6115,99,4.47,1.36,8.5,1.2,3.8,8.9,2.35,1147,0,2023,0.491701816,5363,0.299160986,38
