Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,PLAYOFFS,YEAR,Range_Factor
California Angels,46,4.75,0.695,162,1458,1137,12873,6105,4291,1694,120,161,0.98,-40,0,1993,36.94444444
Chicago Cubs,38,4.53,0.69,163,1467,1087,13047,6353,4349,1889,115,162,0.982,46,0,1993,38.26993865
Chicago White Sox,40,4.1,0.7,162,1458,1126,13086,6139,4362,1665,112,153,0.982,61,0,1993,37.2037037
Cincinnati Reds,51,4.85,0.684,162,1458,1091,12906,6056,4302,1633,121,133,0.98,-52,0,1993,36.63580247
Cleveland Indians,47,5.02,0.679,162,1458,1077,13011,6146,4337,1661,148,174,0.976,2,1,1993,37.02469136
Colorado Rockies,46,5.97,0.664,162,1458,1105,12882,6221,4294,1760,167,149,0.973,-23,0,1993,37.37037037
Detroit Tigers,40,5.17,0.693,162,1458,1104,12930,6219,4310,1777,132,148,0.979,-32,0,1993,37.57407407
Florida Marlins,43,4.47,0.696,162,1458,1115,12963,6149,4321,1703,125,130,0.98,-23,0,1993,37.18518519
Houston Astros,36,3.89,0.697,162,1458,1131,12972,6101,4324,1651,126,141,0.979,34,0,1993,36.88271605
Kansas City Royals,42,4.28,0.7,162,1458,1118,13008,6142,4336,1709,97,150,0.984,27,0,1993,37.31481481
Los Angeles Dodgers,35,4.09,0.693,162,1458,1112,13254,6389,4418,1838,133,141,0.979,-97,0,1993,38.61728395
Milwaukee Brewers,40,4.89,0.696,162,1458,1090,13023,6104,4341,1632,131,148,0.979,25,0,1993,36.87037037
Minnesota Twins,41,5.12,0.679,162,1458,1082,12999,6188,4333,1755,100,160,0.984,-43,0,1993,37.58024691
Montreal Expos,48,4.18,0.703,163,1467,997,13110,6356,4370,1827,159,144,0.975,-22,0,1993,38.01840491
New York Mets,41,4.59,0.69,162,1458,1076,12942,6251,4314,1781,156,143,0.975,-20,0,1993,37.62345679
New York Yankees,41,4.7,0.7,162,1458,1082,12945,6309,4315,1889,105,166,0.983,40,0,1993,38.2962963
Oakland Athletics,43,5.22,0.689,162,1458,1123,13071,6093,4357,1625,111,161,0.982,-43,0,1993,36.92592593
Philadelphia Phillies,40,4.57,0.693,162,1458,1104,13254,6095,4418,1536,141,123,0.977,-49,0,1993,36.75308642
Pittsburgh Pirates,47,4.98,0.689,162,1458,1079,13011,6258,4337,1816,105,161,0.983,-15,0,1993,37.98148148
San Diego Padres,46,4.77,0.688,162,1458,1010,12939,6089,4313,1616,160,129,0.974,-130,1,1993,36.59876543
Seattle Mariners,48,4.51,0.693,162,1458,1121,13083,6177,4361,1726,90,173,0.985,47,0,1993,37.57407407
San Francisco Giants,41,3.93,0.711,162,1458,1138,13110,6204,4370,1733,101,169,0.984,37,0,1993,37.67283951
St. Louis Cardinals,39,4.59,0.689,162,1458,1108,13077,6408,4359,1890,159,157,0.975,-16,0,1993,38.57407407
Texas Rangers,42,4.64,0.688,162,1458,1101,12945,6227,4315,1780,132,145,0.979,6,0,1993,37.62345679
Toronto Blue Jays,38,4.58,0.692,162,1458,1194,12972,6013,4324,1582,107,144,0.982,10,1,1993,36.45679012
Atlanta Braves,41,3.51,0.713,162,1458,1013,13140,6192,4380,1703,109,121,0.982,39,1,1992,37.54938272
Baltimore Orioles,35,4.05,0.71,162,1458,1162,13176,6193,4392,1708,93,168,0.985,14,0,1992,37.65432099
Boston Red Sox,37,4.13,0.695,162,1458,1161,13038,6356,4346,1871,139,170,0.978,-20,0,1992,38.37654321
California Angels,41,4.14,0.693,162,1458,1127,13014,6283,4338,1811,134,172,0.979,12,0,1992,37.95679012
Chicago Cubs,41,3.85,0.716,162,1458,1068,13221,6455,4407,1934,114,142,0.982,2,0,1992,39.14197531
Chicago White Sox,35,4.26,0.711,162,1458,1131,13155,6292,4385,1778,129,134,0.979,39,0,1992,38.04320988
Cincinnati Reds,42,3.76,0.7,162,1458,1040,13047,6110,4349,1665,96,128,0.984,-28,1,1992,37.12345679
Cleveland Indians,42,4.6,0.693,162,1458,1127,13230,6278,4410,1727,141,176,0.978,18,0,1992,37.88271605
Detroit Tigers,34,4.9,0.698,162,1458,1133,12921,6189,4307,1766,116,164,0.981,25,1,1992,37.48765432
Houston Astros,37,4.12,0.704,162,1458,1037,13134,6113,4378,1621,114,125,0.981,8,0,1992,37.0308642
Kansas City Royals,42,4.12,0.701,162,1458,1162,13026,6212,4342,1748,122,164,0.98,-16,0,1992,37.59259259
Los Angeles Dodgers,36,3.93,0.685,162,1458,1006,12942,6315,4314,1827,174,136,0.972,-96,0,1992,37.90740741
Milwaukee Brewers,35,3.73,0.725,162,1458,1150,13113,6201,4371,1741,89,146,0.986,12,0,1992,37.72839506
Minnesota Twins,39,4.03,0.706,162,1458,1065,13077,6230,4359,1776,95,155,0.985,35,0,1992,37.87037037
Montreal Expos,45,3.59,0.713,162,1458,1077,13212,6302,4404,1774,124,113,0.98,-2,0,1992,38.13580247
New York Mets,44,4.03,0.692,162,1458,991,13020,6173,4340,1717,116,134,0.981,-50,0,1992,37.38888889
New York Yankees,40,4.6,0.699,162,1458,1194,13074,6211,4358,1739,114,165,0.982,-16,0,1992,37.63580247
Oakland Athletics,44,4.15,0.707,162,1458,1040,13023,6042,4341,1576,125,158,0.979,12,0,1992,36.52469136
Philadelphia Phillies,48,4.43,0.704,162,1458,1150,12852,6029,4284,1614,131,128,0.978,-24,0,1992,36.40740741
Pittsburgh Pirates,43,3.67,0.711,162,1458,1070,13317,6471,4439,1931,101,144,0.984,0,0,1992,39.32098765
San Diego Padres,38,3.93,0.694,162,1458,1152,13152,6218,4384,1719,115,127,0.982,41,0,1992,37.67283951
Seattle Mariners,48,4.93,0.694,162,1458,1085,13005,6210,4335,1763,112,170,0.982,-46,0,1992,37.64197531
San Francisco Giants,40,3.99,0.707,162,1458,1056,13149,6278,4383,1782,113,174,0.982,8,0,1992,38.05555556
St. Louis Cardinals,39,3.73,0.716,162,1458,1128,13320,6311,4440,1777,94,146,0.985,-1,0,1992,38.37654321
Texas Rangers,51,4.65,0.68,162,1458,1034,13143,6227,4381,1692,154,153,0.975,-48,0,1992,37.48765432
Toronto Blue Jays,39,4.21,0.712,162,1458,1167,12966,6006,4322,1591,93,109,0.985,32,1,1992,36.5
Atlanta Braves,43,3.98,0.714,162,1458,988,13074,6330,4358,1834,138,122,0.978,-98,1,1991,38.22222222
Baltimore Orioles,41,4.91,0.692,162,1458,1067,13119,6271,4373,1807,91,172,0.985,39,0,1991,38.14814815
Boston Red Sox,37,4.4,0.699,162,1458,1126,12957,6203,4319,1768,116,165,0.981,35,0,1991,37.57407407
California Angels,41,4.01,0.708,162,1458,1186,12975,6285,4325,1858,102,156,0.984,-28,0,1991,38.16666667
Chicago Cubs,39,4.59,0.703,160,1440,962,13110,6313,4370,1830,113,120,0.982,5,0,1991,38.75
Chicago White Sox,37,4.2,0.728,162,1458,974,13302,6290,4434,1740,116,151,0.982,64,0,1991,38.11111111
Cincinnati Reds,40,4.27,0.701,162,1458,1088,12960,6060,4320,1615,125,131,0.979,-9,1,1991,36.63580247
Cleveland Indians,52,4.69,0.678,162,1458,1100,12972,6185,4324,1712,149,150,0.976,-13,0,1991,37.25925926
Detroit Tigers,41,4.9,0.693,162,1458,1101,13053,6251,4351,1796,104,171,0.983,52,0,1991,37.94444444
Houston Astros,44,4.43,0.701,162,1458,1014,13077,6137,4359,1617,161,129,0.974,8,0,1991,36.88888889
Kansas City Royals,45,4.46,0.688,162,1458,1028,13194,6217,4398,1694,125,141,0.98,-30,0,1991,37.60493827
Los Angeles Dodgers,38,3.49,0.708,162,1458,1007,13122,6292,4374,1795,123,126,0.98,-26,0,1991,38.08024691
Milwaukee Brewers,39,4.59,0.698,162,1458,1158,13173,6279,4391,1770,118,176,0.981,-30,1,1991,38.0308642
Minnesota Twins,35,4.02,0.71,162,1458,972,13044,6222,4348,1779,95,161,0.985,35,0,1991,37.82098765
Montreal Expos,38,4.07,0.713,161,1449,1121,12963,6250,4321,1796,133,128,0.979,11,0,1991,37.99378882
New York Mets,40,4.01,0.689,161,1449,1012,12936,6221,4312,1766,143,112,0.977,-64,0,1991,37.7515528
New York Yankees,40,4.8,0.684,162,1458,1125,12996,6217,4332,1752,133,181,0.979,-39,0,1991,37.55555556
Oakland Athletics,46,4.79,0.706,162,1458,1015,12999,6048,4333,1608,107,150,0.982,18,0,1991,36.67283951
Philadelphia Phillies,42,4.2,0.71,162,1458,1105,13167,6131,4389,1623,119,111,0.981,-16,0,1991,37.11111111
Pittsburgh Pirates,41,3.9,0.701,162,1458,1069,13110,6336,4370,1846,120,134,0.981,-13,0,1991,38.37037037
San Diego Padres,47,3.99,0.711,162,1458,1120,13074,6202,4358,1731,113,130,0.982,64,0,1991,37.58641975
Seattle Mariners,38,4.16,0.703,162,1458,1009,13179,6286,4393,1783,110,187,0.983,-29,0,1991,38.12345679
San Francisco Giants,41,4.3,0.707,162,1458,1003,12978,6188,4326,1753,109,151,0.982,15,0,1991,37.52469136
St. Louis Cardinals,36,4,0.711,162,1458,1080,12918,6102,4306,1689,107,133,0.982,26,0,1991,37.00617284
Texas Rangers,48,5.02,0.692,162,1458,939,13311,6283,4437,1712,134,138,0.979,-36,0,1991,37.95679012
Toronto Blue Jays,44,3.84,0.718,162,1458,1133,13164,6201,4388,1686,127,115,0.98,29,1,1991,37.49382716
Atlanta Braves,46,5.07,0.676,162,1458,1098,12867,6182,4289,1735,158,133,0.974,-58,0,1990,37.18518519
Baltimore Orioles,46,4.34,0.711,161,1449,1114,12918,6050,4306,1651,93,151,0.985,39,0,1990,37
Boston Red Sox,40,4.1,0.685,162,1458,1155,12978,6192,4326,1743,123,154,0.98,-34,0,1990,37.46296296
California Angels,42,4.36,0.681,162,1458,1128,13086,6375,4362,1871,142,186,0.978,-44,0,1990,38.47530864
Chicago Cubs,39,4.78,0.689,162,1458,1069,12984,6208,4328,1756,124,136,0.98,-76,0,1990,37.55555556
Chicago White Sox,36,3.91,0.712,162,1458,1092,13044,6178,4348,1706,124,169,0.98,66,0,1990,37.37037037
Cincinnati Reds,39,3.69,0.709,162,1458,1108,13107,6161,4369,1690,102,126,0.983,-17,1,1990,37.40123457
Cleveland Indians,44,4.55,0.695,162,1458,1108,12846,6047,4282,1648,117,146,0.981,16,0,1990,36.60493827
Detroit Tigers,43,4.65,0.705,162,1458,1082,12873,6196,4291,1774,131,178,0.979,-9,1,1990,37.4382716
Houston Astros,43,4.05,0.708,162,1458,1011,13050,6083,4350,1602,131,124,0.978,-39,0,1990,36.74074074
Kansas City Royals,46,4.4,0.683,161,1449,1077,12786,5982,4262,1598,122,161,0.98,-53,0,1990,36.39751553
Los Angeles Dodgers,46,4.23,0.703,162,1458,1019,12978,6068,4326,1612,130,123,0.979,-19,0,1990,36.65432099
Milwaukee Brewers,43,4.69,0.685,162,1458,1090,13005,6221,4335,1737,149,152,0.976,-28,0,1990,37.48148148
Minnesota Twins,39,4.5,0.689,162,1458,1041,12921,6113,4307,1705,101,161,0.983,-1,0,1990,37.11111111
Montreal Expos,42,3.69,0.713,162,1458,1075,13260,6178,4420,1648,110,134,0.982,-20,0,1990,37.45679012
New York Mets,44,3.78,0.69,162,1458,1080,12960,6017,4320,1565,132,107,0.978,-36,0,1990,36.32716049
New York Yankees,42,4.62,0.699,162,1458,1105,13002,6251,4334,1791,126,164,0.98,38,0,1990,37.80864198
Oakland Athletics,39,3.52,0.732,162,1458,1071,13104,6085,4368,1630,87,152,0.986,107,0,1990,37.02469136
Philadelphia Phillies,43,4.5,0.711,162,1458,1109,13041,6203,4347,1739,117,150,0.981,27,0,1990,37.56790123
Pittsburgh Pirates,46,3.82,0.713,162,1458,1104,13023,6252,4341,1777,134,125,0.979,18,1,1990,37.7654321
San Diego Padres,36,4.15,0.7,162,1458,1137,13155,6194,4385,1668,141,141,0.977,-47,0,1990,37.36419753
Seattle Mariners,43,4.2,0.704,162,1458,1120,12990,6190,4330,1730,130,152,0.979,50,0,1990,37.40740741
San Francisco Giants,51,4.38,0.702,162,1458,1028,13017,6271,4339,1825,107,148,0.983,-30,0,1990,38.04938272
St. Louis Cardinals,43,4.31,0.699,162,1458,1119,12990,6194,4330,1734,130,114,0.979,35,1,1990,37.43209877
Texas Rangers,40,4.3,0.701,162,1458,986,13002,6188,4334,1721,133,161,0.979,22,0,1990,37.37654321
Toronto Blue Jays,40,4.08,0.707,162,1458,1165,13086,6168,4362,1720,86,144,0.986,28,0,1990,37.54320988
Atlanta Braves,46,4.22,0.701,161,1449,1115,13029,6217,4343,1722,152,124,0.976,18,0,1989,37.67080745
Baltimore Orioles,38,4.23,0.705,162,1458,1144,13035,6227,4345,1795,87,163,0.986,20,0,1989,37.90123457
Boston Red Sox,34,4.54,0.688,162,1458,1146,13143,6217,4381,1709,127,162,0.98,2,0,1989,37.59259259
California Angels,36,3.57,0.708,162,1458,1233,13089,6346,4363,1887,96,173,0.985,48,0,1989,38.58024691
Chicago Cubs,36,3.85,0.708,162,1458,1105,13143,6227,4381,1722,124,130,0.98,-3,1,1989,37.67283951
Chicago White Sox,41,4.66,0.695,161,1449,1076,12798,6135,4266,1718,151,176,0.975,-31,0,1989,37.16770186
Cincinnati Reds,41,4.27,0.704,162,1458,1065,13179,6185,4393,1671,121,108,0.98,-44,0,1989,37.43209877
Cleveland Indians,46,4.04,0.704,162,1458,1161,13077,6227,4359,1750,118,126,0.981,-1,0,1989,37.70987654
Detroit Tigers,46,5.04,0.69,162,1458,1077,12846,6175,4283,1762,130,153,0.979,-22,0,1989,37.31481481
Houston Astros,37,4.13,0.706,162,1458,1141,13314,6233,4438,1653,142,121,0.977,25,0,1989,37.59876543
Kansas City Royals,36,3.92,0.692,162,1458,1020,13065,6230,4355,1761,114,139,0.982,-38,0,1989,37.75308642
Los Angeles Dodgers,40,3.35,0.711,160,1440,1054,13170,6176,4390,1668,118,153,0.981,9,0,1989,37.8625
Milwaukee Brewers,39,4.19,0.693,162,1458,1142,12891,6255,4297,1803,155,164,0.975,-38,0,1989,37.65432099
Minnesota Twins,43,4.56,0.694,162,1458,996,12864,5993,4288,1598,107,141,0.982,-22,0,1989,36.33333333
Montreal Expos,38,3.89,0.704,162,1458,1038,13215,6363,4405,1822,136,126,0.979,-28,0,1989,38.4382716
New York Mets,42,3.67,0.713,162,1458,1091,13089,5969,4363,1462,144,110,0.976,28,0,1989,35.95679012
New York Yankees,49,4.92,0.683,161,1449,1130,12732,6111,4246,1743,122,183,0.98,21,0,1989,37.19875776
Oakland Athletics,40,3.56,0.715,162,1458,1092,13035,6114,4345,1640,129,159,0.979,19,1,1989,36.94444444
Philadelphia Phillies,47,4.51,0.699,163,1467,1067,12900,6204,4300,1771,133,136,0.979,-79,0,1989,37.24539877
Pittsburgh Pirates,45,4.15,0.713,164,1476,1122,13389,6379,4463,1756,160,130,0.975,30,0,1989,37.92073171
San Diego Padres,40,3.86,0.707,162,1458,1069,13116,6348,4372,1822,154,147,0.976,-79,0,1989,38.2345679
Seattle Mariners,39,4.49,0.693,162,1458,1110,12942,6234,4314,1777,143,168,0.977,6,0,1989,37.59876543
San Francisco Giants,45,3.7,0.725,162,1458,965,13113,6210,4371,1725,114,135,0.982,39,1,1989,37.62962963
St. Louis Cardinals,33,3.71,0.717,164,1476,1134,13149,6351,4383,1856,112,134,0.982,79,0,1989,38.04268293
Texas Rangers,40,4.41,0.705,162,1458,1095,12906,6090,4303,1651,136,137,0.978,-1,0,1989,36.75308642
Toronto Blue Jays,42,4.02,0.704,162,1458,1164,13203,6392,4401,1864,127,164,0.98,7,1,1989,38.67283951
Atlanta Braves,40,4.63,0.692,160,1440,1124,13014,6278,4338,1789,151,138,0.976,-61,0,1988,38.29375
Baltimore Orioles,43,4.9,0.697,161,1449,1133,12744,6093,4248,1726,119,172,0.98,-19,0,1988,37.10559006
Boston Red Sox,36,4.25,0.693,162,1458,1168,12837,5914,4279,1542,93,123,0.984,5,1,1988,35.93209877
California Angels,43,4.76,0.693,162,1458,1110,13101,6327,4367,1825,135,175,0.979,-25,0,1988,38.22222222
Chicago Cubs,39,4.26,0.693,163,1467,1188,13179,6341,4393,1823,125,128,0.98,-32,0,1988,38.13496933
Chicago White Sox,43,4.7,0.698,161,1449,1111,12951,6314,4317,1843,154,177,0.976,6,0,1988,38.26086957
Cincinnati Reds,45,3.7,0.723,161,1449,1094,13095,6292,4365,1802,125,131,0.98,59,0,1988,38.30434783
Cleveland Indians,42,4.51,0.692,162,1458,1205,12906,6112,4302,1686,124,131,0.98,-44,0,1988,36.96296296
Detroit Tigers,37,4.06,0.718,162,1458,1116,13011,6060,4337,1614,109,129,0.982,34,0,1988,36.7345679
Houston Astros,39,3.9,0.709,162,1458,1115,13272,6280,4424,1718,138,124,0.978,-35,0,1988,37.91358025
Kansas City Royals,41,4.02,0.695,161,1449,1112,12855,6123,4285,1714,124,147,0.98,-18,0,1988,37.26086957
Los Angeles Dodgers,38,3.36,0.708,162,1458,1035,13170,6278,4390,1746,142,126,0.977,12,1,1988,37.87654321
Milwaukee Brewers,35,3.8,0.716,162,1458,1187,13044,6182,4348,1714,120,146,0.981,26,0,1988,37.41975309
Minnesota Twins,40,4.15,0.699,162,1458,1065,12885,5879,4295,1500,84,155,0.986,12,0,1988,35.77160494
Montreal Expos,40,3.63,0.72,163,1467,1122,13344,6406,4448,1816,142,145,0.978,40,0,1988,38.42944785
New York Mets,32,3.33,0.707,160,1440,1040,12951,6062,4317,1630,115,127,0.981,-34,1,1988,37.16875
New York Yankees,40,4.65,0.695,161,1449,1131,13104,6162,4368,1660,134,161,0.978,-30,0,1988,37.44099379
Oakland Athletics,34,3.83,0.71,162,1458,1018,13404,6202,4468,1629,105,151,0.983,15,1,1988,37.63580247
Philadelphia Phillies,43,4.53,0.693,162,1458,1107,12897,6097,4299,1653,145,139,0.976,-56,0,1988,36.74074074
Pittsburgh Pirates,42,3.85,0.715,160,1440,1093,12966,6251,4322,1804,125,128,0.98,29,0,1988,38.2875
San Diego Padres,34,3.62,0.714,161,1449,1112,13041,6234,4347,1767,120,147,0.981,30,0,1988,37.97515528
Seattle Mariners,40,4.62,0.698,161,1449,1179,12852,6019,4284,1612,123,168,0.98,-13,0,1988,36.62111801
San Francisco Giants,42,3.86,0.717,162,1458,1051,13160,6312,4387,1796,129,145,0.98,14,0,1988,38.16666667
St. Louis Cardinals,41,3.91,0.707,162,1458,1133,13236,6435,4412,1902,121,131,0.981,-2,0,1988,38.97530864
Texas Rangers,40,4.57,0.715,161,1449,1122,12944,6203,4316,1756,131,145,0.979,31,0,1988,37.71428571
Toronto Blue Jays,35,4.2,0.706,162,1458,1113,13041,6194,4347,1737,110,170,0.982,27,0,1988,37.55555556
Atlanta Braves,38,5.15,0.69,161,1449,1183,12849,6320,4283,1921,116,170,0.982,-41,0,1987,38.53416149
Baltimore Orioles,41,5.43,0.696,162,1458,1169,12957,6177,4319,1747,111,174,0.982,-9,0,1987,37.44444444
Boston Red Sox,33,5.09,0.674,162,1458,1215,12924,6102,4308,1684,110,158,0.982,-13,0,1987,36.98765432
California Angels,37,4.96,0.704,162,1458,1066,13116,6129,4372,1640,117,162,0.981,38,0,1987,37.11111111
Chicago Cubs,36,4.98,0.677,161,1449,1015,12912,6221,4304,1787,130,154,0.979,-78,0,1987,37.83229814
Chicago White Sox,36,4.6,0.714,162,1458,1170,13029,6241,4343,1782,116,174,0.981,98,0,1987,37.80864198
Cincinnati Reds,37,4.64,0.696,162,1458,1125,13071,6130,4357,1643,130,137,0.979,-10,0,1987,37.03703704
Cleveland Indians,43,5.91,0.69,162,1458,1170,12804,6047,4268,1626,153,128,0.975,-48,0,1987,36.38271605
Detroit Tigers,37,4.54,0.705,162,1458,1047,13104,6193,4368,1703,122,147,0.98,9,1,1987,37.47530864
Houston Astros,43,4.19,0.697,162,1458,1095,12972,6057,4324,1617,116,113,0.981,-25,0,1987,36.67283951
Kansas City Royals,35,4.27,0.693,162,1458,1172,12816,6256,4272,1853,131,151,0.979,-11,0,1987,37.80864198
Los Angeles Dodgers,48,4.17,0.687,162,1458,1028,13095,6310,4365,1790,155,144,0.975,-48,0,1987,37.99382716
Milwaukee Brewers,35,5.04,0.679,162,1458,1100,13176,6143,4392,1606,145,155,0.976,-43,0,1987,37.02469136
Minnesota Twins,35,4.98,0.7,162,1458,1067,12846,5989,4282,1609,98,147,0.984,13,1,1987,36.36419753
Montreal Expos,41,4.44,0.695,162,1458,1071,13053,6177,4351,1679,147,122,0.976,-19,0,1987,37.22222222
New York Mets,37,4.31,0.696,162,1458,1062,13086,6296,4362,1797,137,137,0.978,-22,0,1987,38.01851852
New York Yankees,47,4.68,0.703,162,1458,1102,13017,6126,4339,1685,102,155,0.983,21,0,1987,37.18518519
Oakland Athletics,45,4.87,0.695,162,1458,1096,13011,6128,4337,1649,142,122,0.977,-18,0,1987,36.95061728
Philadelphia Phillies,38,4.62,0.704,162,1458,1062,13035,6177,4345,1711,121,137,0.98,13,0,1987,37.38271605
Pittsburgh Pirates,48,4.59,0.711,162,1458,1094,13005,6292,4335,1834,123,147,0.98,66,0,1987,38.08024691
San Diego Padres,39,4.71,0.706,162,1458,1023,12900,6246,4300,1799,147,135,0.976,34,0,1987,37.64814815
Seattle Mariners,40,4.94,0.694,162,1458,1195,12876,6170,4292,1756,122,150,0.98,-11,0,1987,37.33333333
San Francisco Giants,46,4.13,0.698,162,1458,1006,13239,6403,4413,1861,129,183,0.98,14,1,1987,38.72839506
St. Louis Cardinals,39,4.28,0.696,162,1458,1074,13194,6384,4398,1870,116,172,0.982,11,1,1987,38.69135802
Texas Rangers,39,5.24,0.699,162,1458,1033,12999,6169,4333,1685,151,148,0.976,-28,0,1987,37.14814815
Toronto Blue Jays,37,4.04,0.712,162,1458,1040,13086,6173,4362,1700,111,148,0.982,50,0,1987,37.41975309
Atlanta Braves,36,4.47,0.684,161,1449,1105,12822,6441,4274,2026,141,181,0.978,-48,0,1986,39.13043478
Baltimore Orioles,41,4.69,0.696,162,1458,1096,12930,6096,4310,1651,135,163,0.978,-9,0,1986,36.7962963
Boston Red Sox,38,4.32,0.686,161,1449,1124,12867,6020,4289,1602,129,146,0.979,-2,1,1986,36.59006211
California Angels,38,4.22,0.715,162,1458,1116,13104,6193,4368,1718,107,156,0.983,68,1,1986,37.56790123
Chicago Cubs,39,4.88,0.678,160,1440,971,13005,6243,4335,1784,124,147,0.98,-63,0,1986,38.24375
Chicago White Sox,46,4.31,0.712,162,1458,1139,12981,6111,4327,1667,117,142,0.981,64,0,1986,37
Cincinnati Reds,33,4.43,0.695,162,1458,1073,13212,6353,4404,1809,140,160,0.978,-24,0,1986,38.35185185
Cleveland Indians,35,5.16,0.695,163,1467,1109,13029,6203,4343,1703,157,148,0.975,-44,0,1986,37.09202454
Detroit Tigers,40,4.41,0.719,162,1458,1168,12993,6146,4331,1707,108,163,0.982,58,0,1986,37.27160494
Houston Astros,40,3.51,0.721,162,1458,1010,13107,6064,4369,1565,130,108,0.979,29,1,1986,36.62962963
Kansas City Royals,34,4.15,0.7,162,1458,1080,12966,6202,4322,1757,123,153,0.98,11,0,1986,37.52469136
Los Angeles Dodgers,38,4.19,0.683,162,1458,970,13089,6345,4363,1801,181,118,0.971,-69,0,1986,38.04938272
Milwaukee Brewers,39,4.56,0.687,161,1449,1210,12885,5962,4295,1521,146,146,0.976,-55,0,1986,36.1242236
Minnesota Twins,37,5.18,0.682,162,1458,1126,12894,6042,4298,1626,118,168,0.98,-24,0,1986,36.56790123
Montreal Expos,43,4.27,0.703,161,1449,1020,13197,6319,4399,1787,133,132,0.979,-18,0,1986,38.42236025
New York Mets,36,3.57,0.709,162,1458,1035,13356,6371,4452,1781,138,145,0.978,8,1,1986,38.47530864
New York Yankees,43,4.56,0.703,162,1458,1131,12990,6129,4330,1672,127,153,0.979,-4,0,1986,37.04938272
Oakland Athletics,44,4.69,0.716,162,1458,1110,12897,6031,4299,1597,135,120,0.978,37,0,1986,36.39506173
Philadelphia Phillies,42,4.43,0.693,161,1449,1129,13065,6253,4355,1761,137,157,0.978,-21,0,1986,37.98757764
Pittsburgh Pirates,39,4.32,0.703,162,1458,1016,13056,6413,4352,1918,143,134,0.978,29,0,1986,38.7037037
San Diego Padres,39,4.46,0.702,162,1458,944,12990,6096,4330,1629,137,135,0.978,-35,0,1986,36.78395062
Seattle Mariners,39,5.15,0.67,162,1458,1220,12957,6313,4319,1838,156,191,0.975,-89,0,1986,38.00617284
San Francisco Giants,39,3.81,0.717,162,1458,1042,13143,6318,4381,1794,143,149,0.977,64,0,1986,38.11728395
St. Louis Cardinals,38,3.8,0.72,161,1449,1089,13197,6326,4399,1804,123,178,0.981,94,0,1986,38.52795031
Texas Rangers,37,4.59,0.702,162,1458,1004,13053,6128,4351,1655,122,160,0.98,-1,0,1986,37.07407407
Toronto Blue Jays,36,4.5,0.7,163,1467,1079,13284,6212,4428,1684,100,150,0.984,12,0,1986,37.49693252
Atlanta Braves,33,4.82,0.691,162,1458,1114,13116,6559,4372,2028,159,197,0.976,-28,0,1985,39.50617284
Baltimore Orioles,37,4.75,0.698,161,1449,1091,12846,6125,4282,1714,129,168,0.979,-17,0,1985,37.24223602
Boston Red Sox,36,4.42,0.69,163,1467,1178,13152,6375,4384,1846,145,161,0.977,-7,0,1985,38.2208589
California Angels,41,4.34,0.71,162,1458,1074,13116,6325,4372,1841,112,202,0.982,38,0,1985,38.35185185
Chicago Cubs,40,4.5,0.697,162,1458,1051,12981,6395,4327,1934,134,150,0.979,-24,0,1985,38.64814815
Chicago White Sox,40,4.42,0.702,163,1467,1020,13065,6143,4355,1677,111,152,0.982,1,0,1985,37.00613497
Cincinnati Reds,37,4.11,0.713,162,1458,1061,13062,6155,4354,1679,122,142,0.98,14,0,1985,37.24074074
Cleveland Indians,37,5.31,0.692,162,1458,1087,12789,6107,4263,1703,141,161,0.977,-48,0,1985,36.82716049
Detroit Tigers,36,4.27,0.717,161,1449,1114,13104,6182,4368,1671,143,152,0.977,37,0,1985,37.50931677
Houston Astros,38,4.27,0.701,162,1458,1090,13122,6315,4374,1789,152,159,0.976,-29,0,1985,38.04320988
Kansas City Royals,33,3.94,0.701,162,1458,1096,13149,6417,4383,1907,127,160,0.98,-4,1,1985,38.82716049
Los Angeles Dodgers,40,3.57,0.713,162,1458,1041,13185,6464,4395,1903,166,131,0.974,12,1,1985,38.87654321
Milwaukee Brewers,39,4.98,0.698,161,1449,1178,12933,6139,4311,1686,142,153,0.977,-33,0,1985,37.2484472
Minnesota Twins,36,4.83,0.703,162,1458,1133,12837,6131,4279,1732,120,139,0.98,39,0,1985,37.10493827
Montreal Expos,44,3.95,0.712,161,1449,1048,13113,6348,4371,1856,121,152,0.981,7,0,1985,38.67701863
New York Mets,38,3.51,0.716,162,1458,1116,13392,6275,4464,1696,115,138,0.982,2,0,1985,38.02469136
New York Yankees,38,4.1,0.709,161,1449,1143,12963,6010,4321,1563,126,172,0.979,27,0,1985,36.54658385
Oakland Athletics,36,4.86,0.711,162,1458,1025,13077,6065,4359,1566,140,137,0.977,-6,0,1985,36.57407407
Philadelphia Phillies,37,4.15,0.696,162,1458,1049,13023,6257,4341,1777,139,142,0.978,-41,0,1985,37.7654321
Pittsburgh Pirates,43,4.4,0.695,161,1449,1124,13008,6268,4336,1799,133,127,0.979,-31,0,1985,38.10559006
San Diego Padres,32,3.84,0.714,162,1458,1155,13062,6208,4354,1730,124,158,0.98,13,0,1985,37.55555556
Seattle Mariners,40,5.05,0.698,162,1458,1120,12888,6254,4296,1836,122,156,0.98,-26,0,1985,37.85185185
San Francisco Giants,35,4.16,0.705,162,1458,1166,13032,6265,4344,1773,148,134,0.976,-43,0,1985,37.75925926
