Tm	Fld	RA/G	DefEff	G	GS	CG	Inn	Ch	PO	A	E	DP	Fld%	Rtot	PLAYOFFS	YEAR
Chicago Cubs	68	5.18	0.691	162	1458	1039	12714	5879	4238	1554	87	149	0.985	-24	1	2021
Chicago White Sox	47	3.93	0.694	162	1458	1117	12630	5517	4210	1210	97	112	0.982	-48	0	2021
Cincinnati Reds	55	4.69	0.688	162	1458	1052	12909	5816	4303	1422	91	125	0.984	-26	0	2021
Cleveland Indians	48	4.49	0.703	162	1458	1149	12672	5710	4224	1400	86	138	0.985	32	0	2021
Colorado Rockies	45	4.94	0.686	161	1449	1094	12573	5780	4191	1516	73	140	0.987	20	0	2021
Detroit Tigers	49	4.67	0.698	162	1458	1145	12777	5834	4259	1492	83	136	0.986	-22	0	2021
Houston Astros	51	4.06	0.713	162	1458	1153	13005	5836	4335	1432	69	126	0.988	53	1	2021
Kansas City Royals	47	4.86	0.685	162	1458	1114	12756	5758	4252	1422	84	152	0.985	21	0	2021
Los Angeles Angels	64	4.96	0.68	162	1458	1108	12795	5772	4265	1419	88	131	0.985	-30	0	2021
Los Angeles Dodgers	61	3.46	0.723	162	1458	1021	13068	5748	4356	1303	89	94	0.985	34	1	2021
Miami Marlins	61	4.33	0.689	162	1458	1107	12735	5810	4245	1443	122	146	0.979	4	0	2021
Milwaukee Brewers	59	3.85	0.708	162	1458	1041	12923	5732	4308	1330	94	102	0.984	36	1	2021
Minnesota Twins	56	5.15	0.692	162	1458	1066	12774	5785	4258	1420	107	139	0.982	-16	0	2021
New York Mets	63	4.12	0.697	162	1458	1069	12400.2	5543	4138	1311	94	121	0.983	16	0	2021
New York Yankees	58	4.13	0.698	162	1458	1044	12914.2	5721	4306	1317	98	115	0.983	-37	1	2021
Oakland Athletics	50	4.24	0.698	162	1458	1101	12897	5691	4299	1320	72	116	0.987	-9	0	2021
Philadelphia Phillies	55	4.6	0.687	162	1458	1053	12768	5789	4256	1439	94	142	0.984	-52	0	2021
Pittsburgh Pirates	64	5.14	0.687	162	1458	1129	12567	5637	4189	1378	70	139	0.988	-26	0	2021
San Diego Padres	54	4.37	0.698	162	1458	1119	12870	5771	4290	1399	82	139	0.986	-12	0	2021
Seattle Mariners	62	4.62	0.699	162	1458	1166	12963	5784	4321	1384	79	135	0.986	-5	1	2021
San Francisco Giants	54	3.67	0.707	162	1458	913	13095	5916	4365	1471	80	122	0.986	40	0	2021
St. Louis Cardinals	51	4.15	0.714	162	1458	1147	12753	5848	4251	1513	84	137	0.986	47	1	2021
Tampa Bay Rays	61	4.02	0.706	162	1458	1038	13101	5805	4367	1358	80	130	0.986	35	0	2021
Texas Rangers	54	5.03	0.698	162	1458	1199	12819	5818	4273	1462	83	146	0.986	56	1	2021
Toronto Blue Jays	60	4.09	0.7	162	1458	1047	12639.1	5676	4216	1370	90	122	0.984	5	0	2021
Washington Nationals	59	5.06	0.694	162	1458	1168	12549	5641	4184	1361	96	116	0.983	-32	0	2021
Arizona Diamondbacks	45	4.92	0.689	60	540	430	4665	2064	1555	474	35	54	0.983	4	1	2020
Atlanta Braves	48	4.8	0.692	60	540	400	4719	2140	1573	533	34	52	0.984	-6	0	2020
Baltimore Orioles	45	4.9	0.698	60	540	379	4668	2110	1556	511	43	42	0.98	22	1	2020
Boston Red Sox	47	5.85	0.647	60	540	415	4716	2139	1572	522	45	59	0.979	-25	1	2020
Chicago Cubs	45	4	0.708	60	540	356	4665	2144	1555	559	30	46	0.986	32	0	2020
Chicago White Sox	46	4.1	0.712	60	540	433	4743	2137	1581	517	39	48	0.982	22	0	2020
Cincinnati Reds	43	4.05	0.707	60	540	395	4536	1981	1512	442	27	36	0.986	-6	1	2020
Cleveland Indians	39	3.48	0.701	60	540	407	4824	2138	1608	500	30	46	0.986	18	0	2020
Colorado Rockies	40	5.88	0.675	60	540	385	4737	2255	1579	633	43	78	0.981	7	0	2020
Detroit Tigers	44	5.48	0.69	58	522	389	4431	2008	1477	502	29	46	0.986	-2	1	2020
Houston Astros	42	4.58	0.703	60	540	431	4716	2138	1572	546	20	48	0.991	12	1	2020
Kansas City Royals	48	4.53	0.683	60	540	381	4653	2085	1551	503	31	62	0.985	2	0	2020
Los Angeles Angels	45	5.35	0.698	60	540	425	4728	2097	1576	485	36	36	0.983	-18	1	2020
Los Angeles Dodgers	38	3.55	0.729	60	540	404	4848	2200	1616	544	40	46	0.982	35	1	2020
Miami Marlins	61	5.07	0.686	60	540	374	4536	2101	1512	549	40	60	0.981	-13	1	2020
Milwaukee Brewers	43	4.4	0.687	60	540	371	4656	2081	1552	494	35	45	0.983	-13	1	2020
Minnesota Twins	42	3.58	0.703	60	540	416	4620	2019	1540	459	20	39	0.99	13	0	2020
New York Mets	46	5.13	0.668	60	540	369	4620	2066	1540	494	32	39	0.985	-33	0	2020
New York Yankees	42	4.5	0.695	60	540	384	4506	2022	1502	472	48	37	0.976	0	1	2020
Oakland Athletics	37	3.87	0.703	60	540	414	4638	2061	1546	489	26	33	0.987	3	0	2020
Philadelphia Phillies	46	5.18	0.642	60	540	395	4473	2063	1491	536	36	57	0.983	-38	0	2020
Pittsburgh Pirates	49	4.97	0.697	60	540	428	4617	2097	1539	511	47	53	0.978	3	1	2020
San Diego Padres	46	4.02	0.695	60	540	408	4683	2096	1561	502	33	46	0.984	9	1	2020
Seattle Mariners	48	5.05	0.708	60	540	425	4650	2075	1550	502	23	48	0.989	-2	1	2020
San Francisco Giants	44	4.95	0.699	60	540	373	4659	2086	1553	491	42	43	0.98	7	1	2020
St. Louis Cardinals	44	3.95	0.731	58	522	374	4257	1941	1419	489	33	46	0.983	26	0	2020
Tampa Bay Rays	43	3.82	0.693	60	540	355	4749	2157	1583	541	33	52	0.985	10	0	2020
Texas Rangers	49	5.2	0.704	60	540	430	4650	2057	1550	467	40	40	0.981	5	1	2020
Toronto Blue Jays	48	5.2	0.681	60	540	396	4722	2143	1574	530	39	47	0.982	4	0	2020
Washington Nationals	43	5.02	0.664	60	540	435	4533	2012	1511	462	39	48	0.981	-22	1	2020
Arizona Diamondbacks	44	4.59	0.692	162	1458	1005	13185	6042	4395	1561	86	136	0.986	52	0	2019
Atlanta Braves	50	4.59	0.685	162	1458	1127	13056	5952	4352	1522	78	154	0.987	5	0	2019
Baltimore Orioles	57	6.06	0.688	162	1458	989	12987	5879	4329	1442	108	155	0.982	3	1	2019
Boston Red Sox	47	5.11	0.673	162	1458	1106	13239	5937	4413	1436	88	115	0.985	-15	1	2019
Chicago Cubs	52	4.43	0.681	162	1458	969	12978	6063	4326	1619	118	141	0.981	12	0	2019
Chicago White Sox	47	5.17	0.678	161	1449	1132	12714	5880	4238	1525	117	171	0.98	-21	0	2019
Cincinnati Reds	47	4.39	0.699	162	1458	972	12942	5865	4314	1460	91	124	0.984	25	0	2019
Cleveland Indians	53	4.06	0.695	162	1458	1139	12939	5718	4313	1322	83	110	0.985	49	0	2019
Colorado Rockies	50	5.91	0.677	162	1458	1112	13038	6201	4346	1758	97	165	0.984	6	0	2019
Detroit Tigers	53	5.68	0.666	161	1449	1214	12897	5861	4299	1452	110	127	0.981	-103	1	2019
Houston Astros	45	3.95	0.717	162	1458	1043	13161	5811	4387	1353	71	96	0.988	53	1	2019
Kansas City Royals	51	5.36	0.678	162	1458	1165	12825	5853	4275	1505	73	152	0.988	-5	0	2019
Los Angeles Angels	56	5.36	0.695	162	1458	1080	12983.2	5889	4328	1469	92	118	0.984	5	1	2019
Los Angeles Dodgers	45	3.78	0.71	162	1458	977	13011	5871	4337	1428	106	117	0.982	48	1	2019
Miami Marlins	50	4.99	0.703	162	1458	1058	12999	5791	4333	1364	94	135	0.984	-4	0	2019
Milwaukee Brewers	49	4.73	0.691	162	1458	1013	13134	5870	4378	1395	97	135	0.983	7	1	2019
Minnesota Twins	49	4.65	0.673	162	1458	1105	13170	5906	4390	1405	111	130	0.981	-22	0	2019
New York Mets	52	4.55	0.679	162	1458	933	13149	5917	4383	1435	99	129	0.983	-44	0	2019
New York Yankees	54	4.56	0.686	162	1458	1132	12987	5778	4329	1347	102	135	0.982	7	1	2019
Oakland Athletics	49	4.2	0.71	162	1458	1124	13185	5939	4395	1464	80	122	0.987	41	0	2019
Philadelphia Phillies	53	4.9	0.687	162	1458	1122	13083	6010	4361	1552	97	136	0.984	16	0	2019
Pittsburgh Pirates	54	5.62	0.666	162	1458	1068	12960	5934	4320	1493	121	130	0.98	-70	0	2019
San Diego Padres	54	4.87	0.68	162	1458	1041	12888	5798	4296	1386	116	100	0.98	-42	0	2019
Seattle Mariners	67	5.51	0.688	162	1458	1123	12954	5940	4318	1490	132	145	0.978	-9	0	2019
San Francisco Giants	63	4.77	0.699	162	1458	1079	13221	6033	4407	1536	90	142	0.985	14	0	2019
St. Louis Cardinals	42	4.09	0.706	162	1458	1051	12996	5976	4332	1578	66	168	0.989	37	0	2019
Tampa Bay Rays	57	4.05	0.695	162	1458	1076	13269	5924	4423	1414	87	126	0.985	28	0	2019
Texas Rangers	53	5.42	0.671	162	1458	1170	12942	5783	4314	1364	105	143	0.982	-34	1	2019
Toronto Blue Jays	61	5.11	0.685	162	1458	1153	12963	5920	4321	1503	96	141	0.984	-8	0	2019
Washington Nationals	50	4.47	0.689	162	1458	1171	12954	5779	4318	1374	87	111	0.985	6	0	2019
Arizona Diamondbacks	49	3.98	0.698	162	1458	1119	13167	6150	4389	1686	75	152	0.988	28	0	2018
Atlanta Braves	57	4.06	0.709	162	1458	1166	13110	5889	4370	1439	80	134	0.986	42	0	2018
Baltimore Orioles	56	5.51	0.674	162	1458	1112	12879	5934	4293	1537	104	159	0.982	-47	0	2018
Boston Red Sox	43	3.99	0.693	162	1458	1127	13128	5819	4376	1366	77	106	0.987	29	0	2018
Chicago Cubs	50	3.96	0.7	163	1467	933	13287	6208	4429	1675	104	155	0.983	76	0	2018
Chicago White Sox	51	5.23	0.69	162	1458	1156	12933	5856	4311	1431	114	135	0.981	-49	0	2018
Cincinnati Reds	53	5.06	0.685	162	1458	1084	12969	6026	4323	1608	95	144	0.984	-29	0	2018
Cleveland Indians	48	4	0.688	162	1458	1064	13116	5808	4372	1353	83	123	0.986	-13	0	2018
Colorado Rockies	41	4.57	0.688	163	1467	1140	13071	6055	4357	1624	74	162	0.988	36	0	2018
Detroit Tigers	49	4.91	0.694	162	1458	1205	12828	5799	4276	1428	95	126	0.984	1	1	2018
Houston Astros	41	3.3	0.705	162	1458	1014	13095	5797	4365	1369	63	116	0.989	36	1	2018
Kansas City Royals	49	5.14	0.68	162	1458	1234	12888	5902	4296	1529	77	142	0.987	-22	0	2018
Los Angeles Angels	60	4.46	0.693	162	1458	1083	12936	5890	4312	1502	76	173	0.987	26	0	2018
Los Angeles Dodgers	52	3.74	0.698	163	1467	910	13284	5963	4428	1435	100	111	0.983	11	1	2018
Miami Marlins	51	5.02	0.697	161	1449	980	12978	5857	4326	1448	83	133	0.986	2	0	2018
Milwaukee Brewers	53	4.04	0.704	163	1467	959	13149	5944	4383	1453	108	141	0.982	57	1	2018
Minnesota Twins	54	4.78	0.682	162	1458	1137	12990	5881	4330	1454	97	127	0.984	-29	0	2018
New York Mets	56	4.36	0.691	162	1458	1136	13146	5876	4382	1406	88	121	0.985	-42	0	2018
New York Yankees	49	4.13	0.684	162	1458	1155	13107	5807	4369	1344	94	95	0.984	-54	1	2018
Oakland Athletics	53	4.16	0.717	162	1458	1116	13191	6080	4397	1594	89	125	0.985	49	0	2018
Philadelphia Phillies	48	4.49	0.677	162	1458	1092	13011	5938	4337	1478	123	138	0.979	-54	1	2018
Pittsburgh Pirates	47	4.3	0.686	161	1449	1136	12906	5884	4302	1477	105	129	0.982	-15	1	2018
San Diego Padres	49	4.73	0.68	162	1458	1092	13113	6010	4371	1539	100	127	0.983	-35	0	2018
Seattle Mariners	53	4.39	0.691	162	1458	1099	13038	5920	4346	1486	88	152	0.985	13	0	2018
San Francisco Giants	48	4.31	0.692	162	1458	1111	13152	6086	4384	1605	97	160	0.984	5	1	2018
St. Louis Cardinals	49	4.27	0.685	162	1458	1031	13098	6039	4366	1540	133	151	0.978	-16	1	2018
Tampa Bay Rays	54	3.99	0.708	162	1458	1101	13035	5913	4345	1483	85	136	0.986	50	0	2018
Texas Rangers	50	5.23	0.682	162	1458	1149	12879	5971	4293	1558	120	168	0.98	18	1	2018
Toronto Blue Jays	63	5.14	0.678	162	1458	1116	12903	5849	4301	1447	101	138	0.983	-59	0	2018
Washington Nationals	53	4.21	0.703	162	1458	1077	13014	5765	4338	1363	64	115	0.989	-4	1	2018
Arizona Diamondbacks	45	4.07	0.687	162	1458	1090	12969	6035	4323	1604	108	140	0.982	-3	0	2017
Atlanta Braves	48	5.07	0.683	162	1458	1146	12972	5999	4324	1578	97	137	0.984	-27	0	2017
Baltimore Orioles	50	5.19	0.683	162	1458	1083	12969	6026	4323	1609	94	175	0.984	-5	0	2017
Boston Red Sox	49	4.12	0.68	162	1458	1162	13341	5944	4447	1390	107	126	0.982	10	0	2017
Chicago Cubs	47	4.29	0.699	162	1458	921	13026	6093	4342	1656	95	139	0.984	34	0	2017
Chicago White Sox	51	5.06	0.7	162	1458	1184	12795	5920	4265	1541	114	157	0.981	16	0	2017
Cincinnati Reds	47	5.36	0.691	162	1458	1154	12870	5994	4290	1623	81	132	0.986	-14	0	2017
Cleveland Indians	41	3.48	0.683	162	1458	1072	12966	5845	4322	1447	76	167	0.987	42	0	2017
Colorado Rockies	41	4.67	0.683	162	1458	1142	12939	6120	4313	1730	77	168	0.987	19	0	2017
Detroit Tigers	48	5.52	0.668	162	1458	1119	12783	5734	4261	1389	84	146	0.985	-51	0	2017
Houston Astros	46	4.32	0.682	162	1458	1044	13014	5963	4338	1526	99	153	0.983	-15	1	2017
Kansas City Royals	49	4.88	0.685	162	1458	1126	12939	5916	4313	1524	79	145	0.987	-24	0	2017
Los Angeles Angels	55	4.38	0.7	162	1458	1125	12966	5864	4322	1462	80	135	0.986	43	1	2017
Los Angeles Dodgers	52	3.58	0.703	162	1458	1026	13002	5789	4334	1367	88	131	0.985	24	0	2017
Miami Marlins	43	5.07	0.691	162	1458	1165	12984	5955	4328	1554	73	156	0.988	-1	0	2017
Milwaukee Brewers	50	4.3	0.684	162	1458	1035	13011	6076	4337	1624	115	164	0.981	7	1	2017
Minnesota Twins	52	4.86	0.692	162	1458	1130	12924	5863	4308	1477	78	143	0.987	37	0	2017
New York Mets	51	5.33	0.667	162	1458	1125	12912	5852	4304	1456	92	125	0.984	-63	0	2017
New York Yankees	51	4.07	0.703	162	1458	1131	13038	5909	4346	1468	95	102	0.984	29	1	2017
Oakland Athletics	54	5.1	0.686	162	1458	1111	12879	6011	4293	1597	121	162	0.98	-34	0	2017
Philadelphia Phillies	51	4.83	0.683	162	1458	1132	12969	5902	4323	1497	82	145	0.986	-33	1	2017
Pittsburgh Pirates	46	4.51	0.679	162	1458	1074	12966	6083	4322	1662	99	156	0.984	-29	1	2017
San Diego Padres	52	5.04	0.683	162	1458	1080	12876	6028	4292	1623	113	177	0.981	-2	0	2017
Seattle Mariners	61	4.77	0.7	162	1458	1154	12963	5846	4321	1422	103	147	0.982	17	0	2017
San Francisco Giants	49	4.79	0.679	162	1458	1081	13068	5965	4356	1522	87	127	0.985	-23	1	2017
St. Louis Cardinals	47	4.35	0.687	162	1458	1100	13053	6039	4351	1594	94	164	0.984	17	1	2017
Tampa Bay Rays	53	4.35	0.701	162	1458	1129	13005	5868	4335	1433	100	129	0.983	18	0	2017
Texas Rangers	51	5.04	0.695	162	1458	1131	12909	6027	4303	1616	108	173	0.982	50	0	2017
Toronto Blue Jays	60	4.84	0.682	162	1458	1073	13185	6057	4395	1570	92	145	0.985	-35	1	2017
Washington Nationals	49	4.15	0.698	162	1458	1118	13020	5860	4340	1434	86	139	0.985	8	1	2017
Arizona Diamondbacks	50	5.49	0.665	162	1458	1105	13062	6118	4354	1663	101	143	0.983	-31	1	2016
Atlanta Braves	59	4.84	0.692	161	1449	1164	13029	6009	4343	1565	101	134	0.983	9	1	2016
Baltimore Orioles	46	4.41	0.688	162	1458	1108	12888	5955	4296	1579	80	165	0.987	-12	0	2016
Boston Red Sox	50	4.28	0.695	162	1458	1143	12957	5821	4319	1427	75	139	0.987	22	0	2016
Chicago Cubs	45	3.43	0.728	162	1458	1017	13137	6115	4379	1635	101	116	0.983	95	1	2016
Chicago White Sox	48	4.41	0.687	162	1458	1223	13020	5971	4340	1536	95	148	0.984	2	0	2016
Cincinnati Reds	52	5.27	0.694	162	1458	1151	12978	5977	4326	1549	102	142	0.983	10	0	2016
Cleveland Indians	48	4.2	0.696	161	1449	1032	13005	6032	4335	1608	89	126	0.985	68	0	2016
Colorado Rockies	47	5.31	0.667	162	1458	1125	12864	6147	4288	1749	110	148	0.982	5	0	2016
Detroit Tigers	44	4.48	0.689	161	1449	1125	12852	5896	4284	1537	75	148	0.987	-40	0	2016
Houston Astros	43	4.33	0.681	162	1458	1102	13212	6080	4404	1599	77	135	0.987	-13	0	2016
Kansas City Royals	42	4.4	0.687	162	1458	1188	12960	5940	4320	1526	94	134	0.984	7	1	2016
Los Angeles Angels	53	4.49	0.685	162	1458	1058	12792	5844	4264	1483	97	148	0.983	-22	0	2016
Los Angeles Dodgers	55	3.94	0.699	162	1458	1060	13077	5887	4359	1448	80	101	0.986	21	0	2016
Miami Marlins	52	4.24	0.683	161	1449	1056	12915	5897	4305	1506	86	137	0.985	-7	0	2016
Milwaukee Brewers	49	4.52	0.68	162	1458	1117	12909	6110	4303	1671	136	145	0.978	3	1	2016
Minnesota Twins	49	5.49	0.662	162	1458	1192	12987	6065	4329	1610	126	172	0.979	-75	0	2016
New York Mets	46	3.81	0.678	162	1458	1052	13023	5950	4341	1519	90	138	0.985	-18	0	2016
New York Yankees	53	4.33	0.694	162	1458	1109	12855	5907	4285	1536	86	116	0.985	4	0	2016
Oakland Athletics	49	4.7	0.685	162	1458	1122	12900	6027	4300	1630	97	152	0.984	-54	0	2016
Philadelphia Phillies	49	4.91	0.681	162	1458	1094	12933	5911	4311	1503	97	142	0.984	17	0	2016
Pittsburgh Pirates	54	4.68	0.676	162	1458	1037	13056	6208	4352	1745	111	172	0.982	-18	1	2016
San Diego Padres	58	4.75	0.687	162	1458	1107	12960	6052	4320	1623	109	165	0.982	-15	0	2016
Seattle Mariners	54	4.36	0.694	162	1458	1092	13113	6035	4371	1575	89	158	0.985	5	0	2016
San Francisco Giants	45	3.9	0.702	162	1458	1135	13143	6092	4381	1639	72	136	0.988	44	1	2016
St. Louis Cardinals	40	4.4	0.679	162	1458	996	13035	6199	4345	1747	107	169	0.983	-23	1	2016
Tampa Bay Rays	48	4.4	0.687	162	1458	1156	12837	5783	4279	1410	94	129	0.984	-37	1	2016
Texas Rangers	52	4.67	0.692	162	1458	1105	12987	6081	4329	1655	97	190	0.984	47	0	2016
Toronto Blue Jays	49	4.11	0.703	162	1458	1087	13134	6088	4378	1622	88	144	0.986	11	0	2016
Washington Nationals	42	3.78	0.7	162	1458	1147	13137	5877	4379	1425	73	142	0.988	49	0	2016
Arizona Diamondbacks	50	4.4	0.693	162	1458	1107	13200	6183	4400	1697	86	146	0.986	38	1	2015
Atlanta Braves	60	4.69	0.681	162	1458	1139	12828	5959	4276	1593	90	186	0.985	-16	1	2015
Baltimore Orioles	48	4.28	0.691	162	1458	1133	12912	5978	4304	1597	77	134	0.987	-8	0	2015
Boston Red Sox	50	4.65	0.68	162	1458	1138	13035	6067	4345	1625	97	148	0.984	-16	1	2015
Chicago Cubs	50	3.75	0.695	162	1458	1053	13152	6164	4384	1669	111	120	0.982	1	0	2015
Chicago White Sox	40	4.33	0.673	162	1458	1151	13074	6041	4358	1582	101	159	0.983	-39	0	2015
Cincinnati Reds	49	4.65	0.689	162	1458	1173	13080	6072	4360	1622	90	131	0.985	0	0	2015
Cleveland Indians	49	3.98	0.699	161	1449	1152	12894	5905	4298	1528	79	136	0.987	42	1	2015
Colorado Rockies	51	5.21	0.668	162	1458	1107	12837	6192	4279	1818	95	171	0.985	-6	0	2015
Detroit Tigers	47	4.99	0.69	161	1449	1103	13023	6048	4341	1621	86	165	0.986	-12	0	2015
Houston Astros	46	3.81	0.701	162	1458	1094	12969	6025	4323	1617	85	131	0.986	14	1	2015
Kansas City Royals	45	3.96	0.701	162	1458	1172	13068	6055	4356	1611	88	138	0.985	17	1	2015
Los Angeles Angels of Anaheim	51	4.17	0.701	162	1458	1058	12966	5906	4322	1491	93	108	0.984	13	0	2015
Los Angeles Dodgers	55	3.67	0.692	162	1458	1084	13011	6139	4337	1727	75	133	0.988	24	0	2015
Miami Marlins	51	4.19	0.694	162	1458	1152	12843	5946	4281	1588	77	162	0.987	9	0	2015
Milwaukee Brewers	49	4.55	0.679	162	1458	1081	12915	6099	4305	1678	116	164	0.981	2	1	2015
Minnesota Twins	44	4.32	0.687	162	1458	1151	12987	6052	4329	1637	86	150	0.986	-14	0	2015
New York Mets	49	3.78	0.697	162	1458	1095	13164	6075	4388	1599	88	131	0.986	-1	1	2015
New York Yankees	55	4.31	0.685	162	1458	1037	13119	6060	4373	1594	93	135	0.985	-29	1	2015
Oakland Athletics	52	4.5	0.691	162	1458	1105	13002	6102	4334	1642	126	154	0.979	-23	0	2015
Philadelphia Phillies	50	4.99	0.667	162	1458	1117	12927	6011	4309	1585	117	145	0.981	-61	0	2015
Pittsburgh Pirates	44	3.68	0.679	162	1458	994	13407	6459	4469	1868	122	177	0.981	-11	0	2015
San Diego Padres	46	4.51	0.683	162	1458	1070	12963	5979	4321	1566	92	138	0.985	-20	0	2015
Seattle Mariners	51	4.48	0.688	162	1458	1059	13167	6168	4389	1685	94	155	0.985	-31	0	2015
San Francisco Giants	48	3.87	0.706	162	1458	1155	12999	6085	4333	1674	78	145	0.987	41	1	2015
St. Louis Cardinals	45	3.24	0.688	162	1458	1014	13182	6107	4394	1617	96	159	0.984	-10	0	2015
Tampa Bay Rays	51	3.96	0.701	162	1458	1027	13080	5863	4360	1408	95	118	0.984	12	0	2015
Texas Rangers	57	4.52	0.687	162	1458	1094	12984	6142	4328	1695	119	169	0.981	43	0	2015
Toronto Blue Jays	52	4.14	0.708	162	1458	1117	12969	6003	4323	1592	88	145	0.985	57	0	2015
Washington Nationals	44	3.92	0.685	162	1458	1166	12912	5927	4304	1533	90	125	0.985	4	1	2015
Arizona Diamondbacks	52	4.58	0.673	162	1458	1209	12999	6079	4333	1645	101	147	0.983	0	0	2014
Atlanta Braves	39	3.69	0.687	162	1458	1191	13095	5977	4365	1527	85	143	0.986	26	0	2014
Baltimore Orioles	43	3.66	0.706	162	1458	1124	13152	6075	4384	1604	87	156	0.986	42	0	2014
Boston Red Sox	55	4.41	0.685	162	1458	1136	13191	6099	4397	1610	92	155	0.985	6	1	2014
Chicago Cubs	48	4.36	0.68	162	1458	1120	13170	6161	4390	1668	103	137	0.983	-14	1	2014
Chicago White Sox	44	4.68	0.678	162	1458	1144	12969	6112	4323	1682	107	170	0.982	-59	0	2014
Cincinnati Reds	45	3.78	0.712	162	1458	1145	13014	5998	4338	1588	72	120	0.988	67	0	2014
Cleveland Indians	45	4.03	0.673	162	1458	1153	13215	6120	4405	1599	116	139	0.981	-45	1	2014
Colorado Rockies	49	5.05	0.678	162	1458	1109	12879	6207	4293	1808	106	166	0.983	39	0	2014
Detroit Tigers	48	4.35	0.673	162	1458	1079	13086	6001	4362	1538	101	153	0.983	-87	1	2014
Houston Astros	48	4.46	0.685	162	1458	1167	12948	6126	4316	1704	106	151	0.983	-45	0	2014
Kansas City Royals	48	3.85	0.693	162	1458	1127	13056	5968	4352	1512	104	122	0.983	31	0	2014
Los Angeles Angels of Anaheim	54	3.89	0.703	162	1458	1061	13344	6013	4448	1482	83	127	0.986	2	0	2014
Los Angeles Dodgers	49	3.81	0.69	162	1458	1074	13182	6208	4394	1707	107	145	0.983	6	0	2014
